impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K22-145534,A662467,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2427987,LOST,Lola,Cat,Over 1 year<p/>,Female,Domestic Longhair,Brown,"Apr 23, 2022",Date Lost,144TH  AVE SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2427987,Image Copyright HLP Inc. 2022,"Description: Lola is big and fluffy and loves to be brushed.<p/>Age: Over 1 year<p/>Location Lost: 144th Ave SE, Kent WA  98042<p/>Lost Date: 2022-04-23<p/>",
K22-146235,A664212,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2438196,LOST,Nino,Cat,Over 1 year<p/>,Male,Domestic Mediumhair,Black,"May 12, 2022",Date Lost,FAUNTLEROY  WAY SW & SW DAWSON ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2438196,Image Copyright HLP Inc. 2022,"Description: black/grey tabby. Small cyst under right eye. Isn't wearing a collar<p/>Age: Over 1 year<p/>Location Lost: Fauntleroy Way SW & SW Dawson St, Seattle WA  98136<p/>Lost Date: 2022-05-12<p/>",
K22-145518,A662424,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2427586,LOST,Hua,Cat,Over 1 year<p/>,Male,Exotic Shorthair,Brown,"Apr 22, 2022",Date Lost,7500 block of  166TH AVE NE,REDMOND,WA,98052,REDMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2427586,Image Copyright HLP Inc. 2022,"Description:  I Lost my CAT at Redmond Town Center (The shopping center at downtown Redmond), Central Parking Lot, Floor 1 (P-1). It is the biggest parking lot with 3 floors totally.<p/>Last seen: April.22, 2022. Time: 6:35 - 7 PM. (Friday afternoon) <p/>2 years old. Neutered. No collar. No microchip.<p/>Color: Tabby (Brown & Black)   eye: yellow & black  Weight: 12.5 lbs<p/><p/>Exotic shorthair mixed breed. He has flat face and short nose. Easily to have tears. His legs are kind of short.<p/>   If anyone finds him, please call: 8314009217  or  6692144306. Appreciate it for any help!<p/>Age: Over 1 year<p/>Location Lost: 7525 166th Ave NE, Redmond, WA, Redmond WA  98052<p/>Lost Date: 2022-04-22<p/>",
K22-146310,A664391,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,4 WEEKS,Male,Domestic Shorthair,Black / White,"May 18, 2022",Received on,22400 block of  SE 331ST ST,AUBURN,WA,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A664391,Image Copyright HLP Inc. 2022,Received on: 2022-05-18<p/> Found Near: 22400 block of  SE 331ST ST<p/> Description: Black / White Male Domestic Shorthair Cat<p/> Age: 4 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K22-145976,A663552,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2434759,LOST,Maeby,Dog,Over 1 year<p/>,Female,Dachshund - Wire-Haired,Black,"May 08, 2022",Date Lost,37TH  AND 102ND,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2434759,Image Copyright HLP Inc. 2022,"Description: Black and Tan wire hair doxie about 20lbs with rainbow collar and tags<p/>Age: Over 1 year<p/>Location Lost: 37th and 102nd, Seattle WA  98146<p/>Lost Date: 2022-05-08<p/>",
K22-145396,A661951,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2425075,LOST,Black,Cat,Unknown<p/>,Male,American Shorthair,Black,"Apr 13, 2022",Date Lost,20400 block of  NE 116TH ST,REDMOND,WA,98053,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2425075,Image Copyright HLP Inc. 2022,"Description: Completely black cat. Very round eyes. No collar. Male. Very shy of humans. <p/>Age: Unknown<p/>Location Lost: 20409 NE 116th st, Redmond WA  98053<p/>Lost Date: 2022-04-13<p/>",
K22-146287,A664337,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A664337,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Squirrel,Cat,3 YEARS,Neutered Male,Domestic Shorthair,Orange / White,"May 17, 2022",Received on,25800 block of  138TH AVE SE,KENT,WA,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A664337,Image Copyright HLP Inc. 2022,"Received on: 2022-05-17<p/> Found Near: 25800 block of  138TH AVE SE<p/> Description: Orange / White Neutered Male Domestic Shorthair Cat<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K22-146264,A664296,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Cat,7 WEEKS,Female,Domestic Mediumhair,Brn Tabby,"May 17, 2022",Received on,26400 block of  164TH AVE SE,COVINGTON,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A664296,Image Copyright HLP Inc. 2022,Received on: 2022-05-17<p/> Found Near: 26400 block of  164TH AVE SE<p/> Description: Brn Tabby Female Domestic Mediumhair Cat<p/> Age: 7 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K22-145665,A662743,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2429692,LOST,Kyro,Dog,Over 1 year<p/>,Male,Siberian Husky,White,"Apr 27, 2022",Date Lost,AUBURN AUBURN,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2429692,Image Copyright HLP Inc. 2022,"Description: White with blue eyes boy and beautiful<p/>Age: Over 1 year<p/>Location Lost: Auburn, Auburn WA  98002<p/>Lost Date: 2022-04-27<p/>",
K22-145551,A662484,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,3 YEARS,Unknown,Domestic Shorthair,Black,"Apr 24, 2022",Received on,10700 block of  SE 240TH ST,KENT,WA,98031,KENT,,,,Image Copyright HLP Inc. 2022,Received on: 2022-04-24<p/> Found Near: 10700 block of  SE 240TH ST<p/> Description: Black Unknown Domestic Shorthair Cat<p/> Age: 3 YEARS<p/>,
